email;categoria
Bom dia, poderiam me enviar o relatório atualizado da carteira de investimentos?;Produtivo
Oi pessoal, tudo certo por aí? Só passando para dar um alô!;Improdutivo
Prezados, segue em anexo a planilha com os dados do mês para conferência.;Produtivo
Gostaria de saber se já temos uma previsão para a liberação do crédito.;Produtivo
Parabéns a todos pelo excelente resultado trimestral!;Improdutivo
Olá, poderiam corrigir a discrepância no extrato da conta PJ?;Produtivo
Por favor, confirmem o recebimento dos documentos enviados ontem.;Produtivo
Bom trabalho, equipe!;Improdutivo
Gostaria de agendar uma reunião para discutir a revisão do contrato.;Produtivo
Feliz aniversário para nossa colega Mariana!;Improdutivo
Por gentileza, atualizem-me sobre a solicitação de aumento de limite.;Produtivo
Prezados, houve um erro no boleto enviado. Poderiam reenviar corretamente?;Produtivo
Boa sorte a todos na apresentação de hoje!;Improdutivo
Favor revisar o cadastro da nova filial e me informar quando estiver concluído.;Produtivo
Equipe, parabéns pela dedicação!;Improdutivo
Preciso de apoio para acesso ao sistema de fundos imobiliários.;Produtivo
Bom dia, enviem a nota fiscal referente ao serviço de consultoria, por favor.;Produtivo
Agradeço imensamente pelo apoio na auditoria!;Improdutivo
Prezados, o arquivo anexo apresenta inconsistências, podem verificar?;Produtivo
Que todos tenham um ótimo fim de semana!;Improdutivo
Por favor, enviem o contrato para minha assinatura até amanhã.;Produtivo
Bom dia! Poderiam validar a solicitação de resgate do fundo?;Produtivo
Obrigado a todos pela colaboração.;Improdutivo
Conseguem me informar o status da abertura da conta internacional?;Produtivo
Bom dia, anexo comprovante de pagamento para conferência.;Produtivo
Um ótimo dia para todos!;Improdutivo
Poderiam me enviar o saldo atualizado da conta vinculada?;Produtivo
Fico muito feliz em fazer parte desse time!;Improdutivo
Gentileza ajustar a fatura do mês conforme combinado.;Produtivo
Prezados, gostaria de solicitar nova senha para acesso ao portal.;Produtivo
Parabéns pelo sucesso do evento ontem!;Improdutivo
Aguardando retorno sobre a solicitação enviada na segunda-feira.;Produtivo
Prezados, segue contrato revisado para assinatura.;Produtivo
Espero que todos estejam bem!;Improdutivo
Podem confirmar se o pagamento do empréstimo já foi processado?;Produtivo
Oi, bom dia! Favor enviar o extrato consolidado de aplicações.;Produtivo
Desejo um excelente feriado a todos.;Improdutivo
Anexo arquivo com os indicadores financeiros para análise.;Produtivo
Gostaria de saber quando sairá o relatório trimestral.;Produtivo
Muito obrigado pelo excelente atendimento!;Improdutivo
